Movie, Genre, Actor,Actor2,Actor3
Wicked Blood,Action,Alexa PenaVega,Demi Moore,Ashley Williams
Dawn Patrol,Drama,Chris Brochu,Adrian Gonzalez,Edward Conna
Lords of London,Crime,Ray Winstone,Matt Gerald,Jonah Bobo
High Anxiety,Comedy,Madeline Kahn,Melissa Benoist,Chris Mulkey
March of the Penguins,Documentary,Morgan Freeman,Seu Jorge,Alexandre Rodrigues
Margin Call,Biography,Kevin Spacey,John Simm,Shaun Parkes
August,Drama,Murray Bartlett,Rus Blackwell,Luis Antonio
Choke,Comedy,Anjelica Huston,Bruce Davison,Piper Laurie
Whiplash,Drama,J.K. Simmons,Alexandra Rapaport,Hana Shuan
City of God,Crime,Alice Braga,Darren McGavin,Scott Schwartz
Human Traffic,Comedy,Danny Dyer,Ramon Rodriguez,Eduardo VerÃ¡stegui
Day One,Biography,Corbin Bleu,Perry King,Timothy Van Patten
The Dead Girl,Crime,James Franco,Kenan Thompson,Josh Hopkins
The Hunt,Drama,Thomas Bo Larsen,Rupert Graves,Miriam Margolyes
A Christmas Story,Comedy,Zack Ward,Agame Malembo-Emene,AngÃ©lica Sancio
Bella,Drama,Armando Riesco,Mia Farrow,Charles Grodin
Class of 1984,Action,Roddy McDowall,Woody Strode,Vera Miles
The Opposite Sex,Comedy,Geoff Stults,Terry Walters,Amy Irving
Dreaming of Joseph Lees,Drama,Samantha Morton,Wilson Guerrero,Yenny Paola Vega
The Class,Drama,FranÃ§ois BÃ©gaudeau,Lou Taylor Pucci,Mary Page Keller
Rosemary's Baby,Drama,John Cassavetes,Eric Dane,Henry Rollins
The Man Who Shot Liberty Valance,Drama,Lee Marvin,Karen Allen,Tim Matheson
Adam,Drama,Peter Gallagher,Gert FrÃ¶be,Lois Maxwell
Maria Full of Grace,Crime,Catalina Sandino Moreno,Douglas Smith,Caleb Landry Jones
Beginners,Comedy,Goran Visnjic,Lionel Barrymore,Thomas Mitchell
Feast,Action,Krista Allen,Shirley Henderson,Ewen Bremner
Animal House,Comedy,John Belushi,Cedric the Entertainer,Steve Harvey
Goldfinger,Action,Honor Blackman,Molly Ephraim,Micah Sloat
Antiviral,Horror,Sarah Gadon,David Kelly,Fionnula Flanagan
It's a Wonderful Life,Drama,Donna Reed,Dick Clark,Bill Clinton
Trainspotting,Drama,Kelly Macdonald,Daoming Chen,Ni Yan
The Original Kings of Comedy,Comedy,Bernie Mac,Robert Rusler,Marshall Bell
Paranormal Activity 2,Horror,Sprague Grayden,Rupert Graves,Denholm Elliott
Waking Ned Devine,Comedy,James Nesbitt,Adelaide Kane,Chris Mulkey
Bowling for Columbine,Crime,Michael Moore,Victoria Leigh,James Ransone
Coming Home,Drama,Li Gong,Mikki Padilla,Dayna Devon
A Nightmare on Elm Street 2: Freddy's Revenge,Fantasy,Clu Gulager,Judith Anderson,Jack Carson
A Room with a View,Drama,Julian Sands,Gregory Sierra,Victor Buono
The Purge,Horror,Rhys Wakefield,Bill Cobbs,Michael Jeter
Sinister,Horror,Danielle Kotch,Eric Stuart,Lisa Ortiz
Martin Lawrence Live: Runteldat,Biography,Nancy O'Dell,Ron Palillo,Vincent Guastaferro
Cat on a Hot Tin Roof,Drama,Burl Ives,Sessue Hayakawa,Jack Hawkins
Beneath the Planet of the Apes,Action,Linda Harrison,Royal Dano,Tonya Lee Williams
Air Bud,Comedy,Kevin Zegers,Bruce Dern,William Devane
PokÃ©mon 3: The Movie,Action,Veronica Taylor,Ray Walston,David White
Jason Lives: Friday the 13th Part VI,Horror,Tony Goldwyn,Leslie Jordan,Erin Gray
The Bridge on the River Kwai,Adventure,William Holden,Lila Kedrova,David Opatoshu
Spaced Invaders,Adventure,Ariana Richards,Dave Chappelle,Lauryn Hill
Family Plot,Comedy,Ed Lauter,Kodi Smit-McPhee,Ben Mendelsohn
The Apartment,Comedy,Fred MacMurray,LisaGay Hamilton,Bobby Brown
Jason Goes to Hell: The Final Friday,Fantasy,Kane Hodder,Donald Faison,Mike Epps
Torn Curtain,Thriller,Tamara Toumanova,Jean Simmons,Edward Andrews
Dave Chappelle's Block Party,Comedy,Common,Montgomery Clift,Spencer Tracy
Slow West,Western,Michael Fassbender,Deon Richmond,Countess Vaughn
Krush Groove,Comedy,Blair Underwood,Seth Green,Breckin Meyer
Next Day Air,Action,Omari Hardwick,Walter Brennan,Harry Carey Jr.
Elmer Gantry,Drama,Shirley Jones,Jimmy Jean-Louis,Joyful Drake
Judgment at Nuremberg,Drama,Maximilian Schell,Ariane Labed,Athina Rachel Tsangari
Trippin',Comedy,Donald Faison,Robert Neary,Kim Darby
Robot ChickenÂ             ,Animation,Matthew Senreich,A. Michael Baldwin,James Le Gros
Red River,Action,Montgomery Clift,Kimberly Elise,Clifton Powell
Phat Girlz,Comedy,Mo'Nique,Lupe Ontiveros,George Lopez
Before Midnight,Drama,Seamus Davey-Fitzpatrick,Jessica De Gouw,Luke Ford
Teen Wolf Too,Comedy,John Astin,Lisa Ray,Seema Biswas
Phantasm II,Action,Angus Scrimm,Jimi Mistry,Om Puri
Woman Thou Art Loosed,Drama,Loretta Devine,Brian Van Holt,David Heyman
Real Women Have Curves,Comedy,America Ferrera,Sarita Choudhury,Rekha
Deadline GallipoliÂ             ,Drama,Rachel Griffiths,Thomas Ian Nicholas,Ann Morgan Guilbert
Water,Drama,John Abraham,Jack Albertson,Julie Dawn Cole
East Is East,Comedy,Archie Panjabi,Zach Galligan,Paula Marshall
Whipped,Comedy,Callie Thorne,George Hamilton,Dyan Cannon
Kama Sutra: A Tale of Love,Crime,Indira Varma,Stuart Margolin,Richard Libertini
Please Give,Comedy,Oliver Platt,Rob McElhenney,Amy Irving
Willy Wonka & the Chocolate Factory,Family,Peter Ostrum,Judy Greer,Jeff Conaway
Warlock: The Armageddon,Fantasy,Julian Sands,Michael Wincott,Courtney Love
8 Heads in a Duffel Bag,Comedy,Kristy Swanson,Grace Gummer,Vanessa Ray
Days of Heaven,Drama,Sam Shepard,Nambitha Mpumlwana,Rapulana Seiphemo
Thirteen Conversations About One Thing,Drama,Matthew McConaughey,Jon Lovitz,Dylan Baker
Jawbreaker,Comedy,Julie Benz,Joe Howard,Robert Noble
Basquiat,Biography,Gary Oldman,Haley Joel Osment,Michael Parks
Frances Ha,Comedy,Greta Gerwig,Ji-tae Yu,Hye-jeong Kang
Tsotsi,Crime,Terry Pheto,Michael Bolten,Christopher Schmidt
Happiness,Comedy,Philip Seymour Hoffman,Robb Wells,Molly Dunsworth
DysFunktional Family,Comedy,Eddie Griffin,HÃ©ctor JimÃ©nez,Erick Elias
Tusk,Comedy,Johnny Depp,Dan Hedaya,Robert Peters
Oldboy,Drama,Min-sik Choi,Kevin Gage,Brianna Brown
Letters to God,Drama,Robyn Lively,Harry Treadaway,Jason Maza
Hobo with a Shotgun,Action,Gregory Smith,Megalyn Echikunwoke,Zach Woods
Compadres,Action,Kevin Pollak,Colm Feore,Megalyn Echikunwoke
Freeway,Comedy,Bokeem Woodbine,Adam Scott,Andrew Rannells
Love's Abiding Joy,Drama,William Morgan Sheppard,Megan Hilty,Zach Grenier
Fish Tank,Drama,Michael Fassbender,Aaron Ashmore,Lindsey Haun
Damsels in Distress,Comedy,Greta Gerwig,William Atherton,Bob Ross
CreatureÂ             ,Horror,Craig T. Nelson,Cjon Saulsberry,Griffin Cleveland
Bachelorette,Comedy,Kirsten Dunst,Amanda Mealing,Tim Healy
BrainDeadÂ             ,Comedy,Danny Pino,Kostja Ullmann,Robert Stadlober
Brave New Girl,Drama,Virginia Madsen,Eric Stoltz,Brendan Fehr
Tim and Eric's Billion Dollar Movie,Comedy,Michael Gross,Betsy Russell,Noah Segan
The Gambler,Crime,George Kennedy,Patti LuPone,Peter Onorati
The GrandÂ             ,Drama,Susan Hampshire,Lauren German,Rosanna Arquette
Summer Storm,Comedy,Alicja Bachleda,Iben Hjejle,Jim Norton
Fort McCoy,Drama,Johnny Pacar,Scott Mechlowicz,Aaron Yoo
Chain Letter,Horror,Matt Cohen,Darren Keefe Reiher,David Douglas
Just Looking,Comedy,Gretchen Mol,Alan Rickman,Anne Hathaway
The Divide,Drama,Michael Biehn,Michael Rapaport,Talia Shire
The Eclipse,Drama,Aidan Quinn,Amy Sedaris,Chris Kattan
Demonic,Horror,Frank Grillo,Kristi Clainos,Emily Nelson
My Big Fat Independent Movie,Comedy,Neil Hopkins,Amy Poehler,Jack McBrayer
Alice in Wonderland,Adventure,Johnny Depp,Ashley Martin,Olivia Alexander
The Deported,Comedy,Taylor Negron,Alex Meraz,Jillian Murray
Tanner Hall,Drama,Tom Everett Scott,Angie Dickinson,Carroll O'Connor
Open Road,Action,John Savage,Sarah Rafferty,Salvatore Santone
They Came Together,Comedy,Christopher Meloni,David Bianchi,Jason Priestley
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Comedy,French Stewart,Shantel VanSanten,John Robinson
Never Back Down 2: The Beatdown,Action,Michael Jai White,Brooke Newton,Brett Wagner
Point Blank,Crime,Lee Marvin,Jack Taylor,Fabio Testi
Four Single Fathers,Comedy,Stephanie Szostak,Derek Jacobi,Lily James
Enter the Dangerous Mind,Thriller,Noel Gugliemi,Stacy Keach,Frank Vincent
Something Wicked,Drama,Julian Morris,Cybill Shepherd,Shea Whigham
AWOL-72,Thriller,Bokeem Woodbine,Matheus Nachtergaele,Othon Bastos
Iguana,Adventure,Everett McGill,Glenn Ford,Thomas Mitchell
Cinderella,Drama,Hayley Atwell,Nick Chinlund,Scott Evans
Chicago Overcoat,Action,Mike Starr,Michael Nouri,Brenda Vaccaro
Barry Munday,Comedy,Judy Greer,Patrick Bauchau,Mia Barron
Central Station,Drama,Fernanda Montenegro,James Ransone,Tempestt Bledsoe
Pocketful of Miracles,Comedy,Ann-Margret,Patrick Troughton,Billie Whitelaw
Close Range,Action,Anthony L. Fernandez,MaÃ¯wenn,Oana Pellea
Boynton Beach Club,Comedy,Dyan Cannon,Patrick Brammall,Kelly Paterniti
Amnesiac,Drama,Olivia Rose Keegan,Gregory Cruz,Allegra Carpenter
Freakonomics,Documentary,Greg Crowe,Paula Jai Parker,Elise Neal
The Omen,Fantasy,Lee Remick,Joe E. Brown,George Raft
High Tension,Horror,CÃ©cile De France,Terry Kiser,William Butler
Griff the Invisible,Comedy,Maeve Dermody,Terry,Billie Burke
Unnatural,Action,Q'orianka Kilcher,Peter Boyle,Teri Garr
Hustle & Flow,Crime,Isaac Hayes,Shawn Roberts,Joe Dinicol
Some Like It Hot,Comedy,Nehemiah Persoff,Sanjay Dutt,Jimmy Shergill
Friday the 13th Part VII: The New Blood,Horror,Kane Hodder,Patricia Richardson,Vanessa Zima
The Wizard of Oz,Adventure,Margaret Hamilton,Kelly Reno,Hoyt Axton
Young Frankenstein,Comedy,Madeline Kahn,Neeru Bajwa,Diljit Dosanjh
Diary of the Dead,Horror,Megan Park,Frank Hvam,Casper Christensen
Lage Raho Munna Bhai,Comedy,Vidya Balan,Cesar Romero,Jack Warden
Ulee's Gold,Drama,Peter Fonda,Ariane Schluter,Henri Garcin
The Black Stallion,Adventure,Teri Garr,Esther Williams,Irene Dunne
Sardaar Ji,Romance,Bhavkhandan Singh Rakhra,David Huddleston,Harvey Korman
Journey to Saturn,Action,Iben Hjejle,Tom Everett,Kimberly Beck
Donovan's Reef,Adventure,Lee Marvin,Agata Trzebuchowska,Agata Kulesza
The Dress,Comedy,Rijk de Gooyer,Denholm Elliott,Simon Callow
A Guy Named Joe,Drama,Spencer Tracy,Laurie Metcalf,Seymour Cassel
Blazing Saddles,Comedy,Madeline Kahn,Charlize Theron,Clea DuVall
Friday the 13th: The Final Chapter,Horror,Judie Aronson,Gabrielle Reece,Laird John Hamilton
Ida,Drama,Joanna Kulig,Nacho Vigalondo,BÃ¡rbara Goenaga
Maurice,Drama,Rupert Graves,Bo Huang,Zheng Xu
Beer League,Comedy,Joe Lo Truglio,Nick Searcy,Beth Broderick
The Astronaut's Wife,Drama,Johnny Depp,Debbie Reynolds,Cyd Charisse
Riding Giants,Documentary,Gerry Lopez,Joel Fuhrman,Amy Badberg
Timecrimes,Horror,Karra Elejalde,Alanna Ubach,J.B. Smoove
Silver Medallist,Action,Jack Kao,Zackary Steven Graham,Dinesh D'Souza
Timber Falls,Horror,Brianna Brown,Tyler Mane,Margot Kidder
Singin' in the Rain,Comedy,Rita Moreno,Charlize Theron,Ethan Embry
"Fat, Sick & Nearly DeadÂ ",Documentary,Joe Cross,Dan O'Herlihy,Nancy Kyes
A Haunted House,Comedy,Essence Atkins,M. Emmet Walsh,Sal Mineo
2016: Obama's America,Documentary,Barack Obama,Melvyn Douglas,Whit Bissell
Halloween II,Horror,Scout Taylor-Compton,La'Princess Jackson,Dana Hanna
That Thing You Do!,Comedy,Tom Hanks,Udo Kier,Flea
Halloween III: Season of the Witch,Horror,Tom Atkins,Michael Weston,Jill Flint
Escape from the Planet of the Apes,Action,Roddy McDowall,Hans Weingartner,Dominik Castell
Hud,Drama,Patricia Neal,Michel CÃ´tÃ©,Jean Pierre Bergeron
Kevin Hart: Let Me Explain,Comedy,David Jason Perez,Samantha Morton,Mark Webber
My Own Private Idaho,Drama,Keanu Reeves,Ato Essandoh,Jessica Hecht
Garden State,Comedy,Armando Riesco,Christopher Simpson,Tannishtha Chatterjee
Before Sunrise,Drama,Hanno PÃ¶schl,Joshua Ormond,Ana Gasteyer
Sur le seuil,Action,Patrick Huard,Julian Richings,Amanda Plummer
Jesus' Son,Drama,Billy Crudup,Jennifer Jason Leigh,Dayo Okeniyi
Saving Face,Comedy,Joan Chen,Elden Henson,Michael Bower
Brick Lane,Drama,Satish Kaushik,Tal Bachman,Steve Burg
Robot & Frank,Comedy,Frank Langella,Sheryl Crow,George W. Bush
My Life Without Me,Drama,Sarah Polley,Diana Scarwid,Tom Bower
The Spectacular Now,Comedy,Shailene Woodley,Stephen Root,Joel David Moore
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Comedy,William Hurt,Carly Schroeder,George Harris
Religulous,Comedy,Bill Maher,Emily Pearson,Gavin Newsom
Fuel,Documentary,Larry David,Anupam Kher,Shriya Saran
Valley of the Heart's Delight,Drama,Bruce McGill,RÃ_diger Vogler,Sebastian Blomberg
Dodgeball: A True Underdog Story,Comedy,Gary Cole,Jacob Vargas,Tenoch Huerta
Eye of the Dolphin,Comedy,Katharine Ross,Rainn Wilson,Paul T. Taylor
8: The Mormon Proposition,Documentary,Dustin Lance Black,Piper Mackenzie Harris,Lochlyn Munro
The Other End of the Line,Comedy,Larry Miller,Cecilia Pillado,David Masterson
Anatomy,Horror,Benno FÃ_rmann,Emmanuel Kabongo,Mark Webber
Sleep Dealer,Drama,Leonor Varela,Harry Lennix,Andre Braugher
Super,Comedy,Linda Cardellini,Max Ryan,Justine Waddell
Christmas Mail,Comedy,Ashley Scott,Patrick Fischler,David Herman
Stung,Comedy,Clifton Collins Jr.,Kevin Leslie,Kris Sommerville
Antibirth,Horror,Natasha Lyonne,Joseph Gilgun,Jack O'Connell
Get on the Bus,Drama,Bernie Mac,Sean Pertwee,Bianca Brigitte VanDamme
Thr3e,Drama,Marc Blucas,Basil Rathbone,Red Skelton
Idiocracy,Adventure,Anthony 'Citric' Campos,Aimee Garcia,Rene Rosado
The Rise of the Krays,Crime,Simon Merrells,Michael O'Neill,Alexandra Holden
This Is England,Crime,Stephen Graham,Ava Gardner,Howard Keel
Alien Uprising,Comedy,Julian Glover,Cinda McCain,Luke Perry
Bathing Beauty,Comedy,Esther Williams,Ellen Burstyn,Christopher Heyerdahl
Go for It!,Drama,Jossara Jinaro,Phil Hartman,Mindy Sterling
"Dancer, Texas Pop. 81Â ",Comedy,Ethan Embry,Deems Taylor,
Show Boat,Drama,Agnes Moorehead,Fernando Rey,Tony Lo Bianco
Redemption Road,Drama,Tom Skerritt,Sebastian Aguilar,Ivette Alvarez
The Calling,Thriller,Topher Grace,Dana Kimmell,Catherine Parks
The Brave Little Toaster,Adventure,Jon Lovitz,Melanie Kinnaman,Dominick Brascia
Fantasia,Animation,Leopold Stokowski,Louise Fletcher,A.J. Buckley
The French Connection,Action,Roy Scheider,Delroy Lindo,Madison Pettis
8 Days,Drama,Nicole Smolen,Kayla Ewell,Linden Ashby
Friday the 13th Part III,Horror,Richard Brooker,Greer Garson,Lionel Barrymore
Friday the 13th: A New Beginning,Horror,Tiffany Helm,Ethan Peck,Brad Schmidt
The Last Sin Eater,Drama,Henry Thomas,Zohra Segal,Shobu Kapoor
Do You Believe?,Drama,Alexa PenaVega,James Wolk,Jason Ritter
Impact Point,Thriller,Brian Austin Green,Daniel Kash,Stefanie Drummond
The Valley of Decision,Drama,Jessica Tandy,Teresa Wright,Dana Andrews
Eden,Drama,Jessica Lowndes,Nick Stahl,Brad Renfro
Chicken Tikka Masala,Comedy,Saeed Jaffrey,Per Christian Ellefsen,Sven Nordin
Always Woodstock,Comedy,Ryan Guzman,Arturo Castro,Brad Lee Wind
Jack Brooks: Monster Slayer,Action,Rachel Skarsten,Pablo Rosso,Carlos Lasarte
The Best Years of Our Lives,Drama,Myrna Loy,Martha Higareda,Cheyenne Haynes
Bully,Biography,Kelli Garner,David Proval,Carmen Argenziano
Elling,Comedy,JÃ¸rgen Langhelle,Michael Chapman,Louise Brealey
Mi America,Crime,Michael Derek,Maria Doyle Kennedy,Shaun O'Hagan
[Rec],Horror,Manuela Velasco,Daniela Bianchi,Lois Maxwell
Lies in Plain Sight,Drama,Rosie Perez,Jessica Dublin,Lisa Gaye
Sharkskin,Comedy,Travis Myers,Alan Autry,Crystal R. Fox
Containment,Horror,Walter Hendrix III,John Beck,Mews Small
The Timber,Adventure,James Ransone,Ruby Harris,Jake Weary
From Russia with Love,Action,Robert Shaw,John Carradine,Lynn Redgrave
The Toxic Avenger Part II,Action,Phoebe Legere,Brock Peters,William Windom
In the Heat of the NightÂ             ,Crime,Carroll O'Connor,Bruce Spence,Kjell Nilsson
Sleeper,Comedy,Woody Allen,Anita Mui,Ho-Sung Pak
It Follows,Horror,Maika Monroe,Shelley Winters,Lois Maxwell
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy,Woody Allen,Brendan Sexton III,Jeannetta Arnette
To Kill a Mockingbird,Crime,Robert Duvall,Julia Taylor Ross,Adam Trese
Mad Max 2: The Road Warrior,Action,Vernon Wells,Ulrich MÃ_he,Martina Gedeck
The Legend of Drunken Master,Action,Andy Lau,Alex Kendrick,T.C. Stallings
Lolita,Crime,James Mason,Jackie Gleason,Murray Hamilton
Boys Don't Cry,Biography,Alicia Goranson,Spencer Tracy,Claudette Colbert
Silent House,Drama,Eric Sheffer Stevens,Charles Linton,BÃ©atrice Bonifassi
The Lives of Others,Drama,Sebastian Koch,Irene Bedard,Gary Farmer
Courageous,Drama,Ben Davies,James Urbaniak,Daniel Tay
The Hustler,Drama,George C. Scott,Albert Delpy,Marie Pillet
Boom Town,Adventure,Hedy Lamarr,Jorge Salinas,Goya Toledo
The Triplets of Belleville,Animation,Michel Robin,Sarah Clarke,Kip Pardue
Smoke Signals,Comedy,Michael Greyeyes,Celeste Holm,John Garfield
American Splendor,Biography,Josh Hutcherson,Shelley Waggener,Lauren Sweetser
Before Sunset,Drama,Vernon Dobtcheff,Brendan Mackey,Joe Simpson
Amores Perros,Drama,Adriana Barraza,Don Ameche,John Carradine
Thirteen,Drama,Holly Hunter,Brad William Henke,Miranda July
Gentleman's Agreement,Drama,Dean Stockwell,George W. Bush,Barney Frank
Winter's Bone,Drama,Jennifer Lawrence,Emily Ratajkowski,Jonny Weston
Touching the Void,Adventure,Nicholas Aaron,Gano Grills,Richard Portnow
Alexander's Ragtime Band,Drama,Tyrone Power,Christian Bale,Noel Gugliemi
Me and You and Everyone We Know,Comedy,Najarra Townsend,Leonor Varela,Sydelle Noel
Inside Job,Crime,Matt Damon,Enrico Colantoni,Blair Underwood
We Are Your Friends,Drama,Vanessa Lengies,Tawny Kitaen,Rose Marie
Ghost Dog: The Way of the Samurai,Action,Henry Silva,Amy Sedaris,Maria Thayer
Harsh Times,Action,J.K. Simmons,Brian Blessed,Richard Briers
Captive,Crime,David Oyelowo,Peter Stickles,Raphael Barker
Full Frontal,Comedy,Julia Roberts,Ronny Dayag,Zahava Solomon
Witchboard,Horror,Kathleen Wilhoite,Kirby Heyborne,Bruce Newbold
Strangers with CandyÂ             ,Comedy,Stephen Colbert,Dick Cheney,Donald Rumsfeld
Hamlet,Drama,Julie Christie,David Fine,Austin Lyon
Shortbus,Comedy,Sook-Yin Lee,Jon Tenney,Debrah Farentino
Waltz with Bashir,Animation,Ari Folman,Buzz Aldrin,Neil Armstrong
"The Book of Mormon Movie, Volume 1: The JourneyÂ ",Adventure,Noah Danby,Zoe Kazan,Shirley Henderson
No End in Sight,Documentary,Campbell Scott,Bill Maher,Linda Lovelace
The Diary of a Teenage Girl,Drama,Alexander SkarsgÃ¥rd,Manny Perez,Ajay Naidu
Get RealÂ             ,Comedy,Anne Hathaway,Bob Balaban,Jamie Kennedy
In the Shadow of the Moon,Documentary,John F. Kennedy,Krysta Rodriguez,Zack Pearlman
Meek's Cutoff,Drama,Bruce Greenwood,Isabelle Adjani,Jean-Hugues Anglade
Inside Deep Throat,Biography,Hugh M. Hefner,Mark Margolis,Frank Langella
Dinner Rush,Crime,Danny Aiello,Nathan Parsons,John Hensley
Clockwatchers,Comedy,Alanna Ubach,Stephane Gauger,Kim De Angelo
The Virginity Hit,Comedy,Matt Bennett,Bobby Deol,Shakti Kapoor
Subway,Comedy,Christopher Lambert,Neil Maskell,Kate Magowan
House of D,Comedy,Robin Williams,Steve Buscemi,Romany Malco
Teeth,Comedy,Jess Weixler,Annette Badland,Karl Collins
Six-String Samurai,Action,Jeffrey Falcon,Caleb Landry Jones,Matt Craven
Hum To Mohabbat Karega,Action,Karisma Kapoor,Colin Ferguson,Salli Richardson-Whitfield
It's All Gone Pete Tong,Biography,Paul Kaye,Sanjay Mishra,Javed Jaffrey
Saint John of Las Vegas,Comedy,Peter Dinklage,Frank Vincent,Chuck Zito
24 7: Twenty Four Seven,Comedy,Bob Hoskins,Jansen Panettiere,Tiya Sircar
Stonewall,Drama,Jeremy Irvine,Jeremy Jordan,Charly Bivona
EurekaÂ             ,Comedy,Joe Morton,Amy Ryan,Paul Adelstein
Roadside Romeo,Animation,Saif Ali Khan,Kent McCord,Sarah Douglas
This Thing of Ours,Crime,Vincent Pastore,Chris Evans,Dane Cook
The Lost Medallion: The Adventures of Billy Stone,Adventure,Alex Kendrick,Kate Burton,Michelle Hurst
The Last Five Years,Comedy,Anna Kendrick,Megan Mullally,Chris Penn
The Missing Person,Drama,Merritt Wever,Michael McLafferty,Kaiwi Lyman-Mersereau
Return of the Living Dead III,Horror,Melinda Clarke,Jack O'Connell,Lorraine Stanley
London,Drama,Jason Statham,James Kyson,Marlene Forte
Sherrybaby,Drama,Brad William Henke,James Corden,Silvia Colloca
Stealing Harvard,Comedy,Martin Starr,Kenneth Nkosi,Robert Hobbs
Circle,Drama,Jordi Vilasuso,Lee Evans,Ian McNeice
Eden Lake,Horror,Michael Fassbender,Sean Rogerson,Ashleigh Gryzko
Plush,Thriller,Frances Fisher,Tommy Knight,Jemma Curran
Vampire Killers,Action,MyAnna Buring,William Lee Scott,Marc Macaulay
Gangster's Paradise: Jerusalema,Action,Rapulana Seiphemo,Tim Rice,Louis Walsh
Freeze Frame,Crime,Colin Salmon,Charlotte Rae,Louise Lasser
Grave Encounters,Horror,Mackenzie Gray,Linus Roache,Kathy Uyen
Stitches,Comedy,Peter McQuinn,Mario Cimarro,Ricardo Chavira
Nine Dead,Crime,Daniel Baldwin,Tim Daly,Amy Yasbeck
"To Be Frank, Sinatra at 100Â ",Documentary,Alice Cooper,Everett Sloane,Ted de Corsia
Bananas,Comedy,Woody Allen,Lew Temple,Robert Pine
Supercapitalist,Thriller,Paul Sheehan,M.C. Gainey,Mark Rolston
Rockaway,Action,Nicholas Gonzalez,Saffron Burrows,Matt Lucas
WingsÂ             ,Comedy,Steven Weber,Ben Schwartz,Glenn Howerton
The Lady from Shanghai,Crime,Rita Hayworth,Kevin McCarthy,Paul Williams
No Man's Land: The Rise of Reeker,Horror,Mircea Monroe,Curtiss Cook,Peter Hermann
Highway,Crime,Jake Gyllenhaal,Lex Barker,Karin Dor
Small Apartments,Comedy,Noel Gugliemi,Powers Boothe,Josh Meyers
Coffee Town,Comedy,Sunil Narkar,Zero Mostel,Phil Silvers
The Ghastly Love of Johnny X,Comedy,Kate Maberly,Eddie Vedder,Steve Earle
All Is Bright,Comedy,Sally Hawkins,Kevin Alejandro,Glenn Morshower
The Torture Chamber of Dr. Sadism,Horror,Christopher Lee,Wray Crawford,Dave Sheridan
Straight A's,Comedy,Jon Mack,Bella Heathcote,Tom Arnold
A Funny Thing Happened on the Way to the Forum,Comedy,Buster Keaton,Michael Aaron Milligan,James Chalke
Slacker Uprising,Documentary,Michael Moore,Daniel Roebuck,Ione Skye
The Legend of Hell's Gate: An American Conspiracy,Action,William McNamara,Anthony Edwards,Jon Gries
The Walking Deceased,Comedy,Trenton Rostedt,Mike 'The Miz' Mizanin,David Lewis
The Curse of Downers Grove,Drama,Kevin Zegers,Samantha Mathis,Erik Palladino
Shark Lake,Thriller,Melissa Bolona,Paddy Considine,Sally Hawkins
River's Edge,Crime,Keanu Reeves,Ahmed Hassan,Aida Elkashef
Northfork,Drama,Peter Coyote,Lizzie BrocherÃ©,Pierre Perrier
The Marine 4: Moving Target,Action,Paul McGillion,Judy Greer,Portia Doubleday
Buried,Drama,Ryan Reynolds,Remo,Prabhudheva
Submarine,Comedy,Craig Roberts,Lin Shaye,Amanda Wyss
The Square,Documentary,Khalid Abdalla,Philippe Petit,Jean-Louis Blondeau
One to Another,Drama,Karl E. Landler,Peter Feeney,Rachel Nash
Carrie,Drama,ChloÃ« Grace Moretz,Adam Ratcliffe,Faizon Love
ABCD (Any Body Can Dance),Drama,Lauren Gottlieb,Ashley Bell,Patrick Fabian
A Nightmare on Elm Street,Horror,Johnny Depp,Ophelia Lovibond,Anne-Marie Duff
Man on Wire,Biography,Paul McGill,Karl Malden,Kim Hunter
Abandoned,Drama,Siobhan Marshall,Slim Pickens,Keenan Wynn
Brotherly Love,Drama,Logan Browning,Ana Claudia TalancÃ_n,Pedro ArmendÃ¡riz Jr.
The Last Exorcism,Drama,Caleb Landry Jones,Gina Montana,Dwight Henry
Nowhere Boy,Biography,Kristin Scott Thomas,Paul Williams,Claude Akins
A Streetcar Named Desire,Drama,Marlon Brando,David Patrick Kelly,Jane Adams
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,George C. Scott,Bill Irwin,Michael Chernus
El crimen del padre Amaro,Drama,DamiÃ¡n AlcÃ¡zar,T.R. Silambarasan,Brahmanandam
Beasts of the Southern Wild,Drama,QuvenzhanÃ© Wallis,J.J. Abrams,Donald Trump
Battle for the Planet of the Apes,Action,Roddy McDowall,Gary Farmer,Jon Gries
Songcatcher,Drama,Aidan Quinn,Lhakpa Dorji,Sonam Kinga
Higher Ground,Drama,Donna Murphy,Bruce Dern,Alan Hale Jr.
Vaalu,Comedy,Hansika Motwani,Jim Backus,Kim Hunter
The Greatest Movie Ever Sold,Comedy,Quentin Tarantino,Tom Cavanagh,Cas Anvar
Ed and His Dead Mother,Comedy,Steve Buscemi,Luke Edwards,Bree Williamson
Travelers and Magicians,Adventure,Tshewang Dendup,Keenan Tracey,Nicholas Carella
Hang 'Em High,Western,Clint Eastwood,Essence Atkins,Tatyana Ali
Deadline - U.S.A.,Crime,Humphrey Bogart,Ludger Pistor,Armin Rohde
Sublime,Horror,George Newbern,Will Estes,Nora Zehetner
A Beginner's Guide to Snuff,Comedy,Kimberley Crossman,CJ Adams,Erin Pitt
